Change Physical Footprint: Designator=B1 Old Footprint=N-DAP New Footprint=N-DAP
Change Physical Footprint: Designator=C1 Old Footprint=0603_CAP_SMALL New Footprint=0603_CAP_SMALL
Change Physical Footprint: Designator=C2 Old Footprint=0603_CAP_SMALL New Footprint=0603_CAP_SMALL
Change Physical Footprint: Designator=C3 Old Footprint=0603_CAP_SMALL New Footprint=0603_CAP_SMALL
Change Physical Footprint: Designator=C4 Old Footprint=0603_CAP_SMALL New Footprint=0603_CAP_SMALL
Change Physical Footprint: Designator=C5 Old Footprint=0603_CAP_SMALL New Footprint=0603_CAP_SMALL
Change Physical Footprint: Designator=C6 Old Footprint=0603_CAP_SMALL New Footprint=0603_CAP_SMALL
Change Physical Footprint: Designator=C7 Old Footprint=0603_CAP_SMALL New Footprint=0603_CAP_SMALL
Change Physical Footprint: Designator=C8 Old Footprint=0603_CAP_SMALL New Footprint=0603_CAP_SMALL
Change Physical Footprint: Designator=C10 Old Footprint=0603_CAP_SMALL New Footprint=0603_CAP_SMALL
Change Physical Footprint: Designator=D1 Old Footprint=0603_LED_RED New Footprint=0603_LED_RED
Change Physical Footprint: Designator=D2 Old Footprint=0603_LED_GRN New Footprint=0603_LED_GRN
Change Physical Footprint: Designator=D3 Old Footprint=0603_LED_BLU New Footprint=0603_LED_BLU
Change Physical Footprint: Designator=D5 Old Footprint=0603_DIODE-NSR20F30 New Footprint=0603_DIODE-NSR20F30
Change Physical Footprint: Designator=JP2 Old Footprint=USB-MINI-B-HIR-UX60A-MB-5ST-SMALL New Footprint=USB-MINI-B-HIR-UX60A-MB-5ST-SMALL
Change Physical Footprint: Designator=Q1 Old Footprint=SOT323/SC70-3_SMALL New Footprint=SOT323/SC70-3_SMALL
Change Physical Footprint: Designator=R1 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R2 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R3 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R4 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R5 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R6 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R7 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R8 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R9 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R10 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R12 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R13 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R14 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=R15 Old Footprint=0603_RES_SMALL New Footprint=0603_res_SMALL
Change Physical Footprint: Designator=SW3 Old Footprint=BUTTON_4.7X3.5MM New Footprint=BUTTON_4.7x3.5mm
Change Physical Footprint: Designator=SW4 Old Footprint=BUTTON_4.7X3.5MM New Footprint=BUTTON_4.7x3.5mm
Change Physical Footprint: Designator=U1 Old Footprint=QFN32_0.5MM_PAD New Footprint=QFN32_0.5mm_PAD
