Item #,Designator,Comment,Footprint,#Column Name Error:Manufacturer,Description,S.Description,Manufacturer 1,Manufacturer Part Number 1,Supplier 1,Supplier Currency 1,Supplier Stock 1,Supplier Part Number 1,Divider,Quantity,Supplier Order Qty 1,adjusted QTY,Supplier Unit Price 1,Adjusted Supplier Subtotal 1,Item #
1,D1,LED_RED_0603,0603_LED_RED,,,Oosls L29k-G1j2-1-z Q65110a1757 Led Othe,Osram Opto,LS L29K-G1J2-1-Z,Octopart,EUR,74224,Mouser - 720-LSL29K-G1J2-1-Z,1,1,20,20,€0.12,€2.33,1
2,"C1, C4, C5",100nF,0603_cap,,CAPACITOR,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 0.1uF 10% X7R,AVX,06035C104KAT2A,Mouser,EUR,482487,581-06035C104KAT2A,1,3,100,100,€0.03,€2.70,2
3,"C2, C3",18pF,0603_cap,,CAPACITOR,Multilayer Ceramic Capacitors MLCC - SMD/SMT 25volts 18pF 2% C0G,AVX,02013A180GAT2A,Mouser,EUR,28018,581-02013A180GAT2A,1,2,40,40,€0.09,€3.64,3
4,"C6, C7",33pF,0603_cap,,CAPACITOR,Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 33pF 5% C0G,AVX,06035A330JAT2A,Mouser,EUR,48580,581-06035A330J,1,2,100,100,€0.02,€2.00,4
5,"C8, C10",1uF/MLCC,0603_CAP,,CAPACITOR,Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1.0uF 16volts X7R 10%,Murata Electronics,GCM188R71C105KA64D,Mouser,EUR,196748,81-GCM188R71C105K64D,1,2,40,40,€0.15,€6.04,5
6,D2,LED_GRN_0603,0603_LED_GRN,,,"Standard LEDs - SMD Green, 570nm 10mcd, 2mA",OSRAM Opto Semiconductors,LG L29K-F2J1-24-Z,Mouser,EUR,31083,720-LGL29KF2J124Z,1,1,20,20,€0.12,€2.42,6
7,D3,LED_BLU_0603,0603_LED_BLU,,,"Standard LEDs - SMD Blue, 470nm 45mcd, 5mA",OSRAM Opto Semiconductors,LB Q39G-L2N2-35-1,Mouser,EUR,108800,720-LBQ39GL2N2351,1,1,20,20,€0.12,€2.42,7
8,D5,NSR20F30NXT5G,0603_DIODE-CDSU101A,,DIODE,Schottky Diodes & Rectifiers 0603 FC SCHOTTKY DIODES,ON Semiconductor,NSR20F30NXT5G,Mouser,EUR,32431,863-NSR20F30NXT5G,1,1,20,20,€0.34,€6.70,8
9,JP2,USB-MINI-B,USB-MINI-B-HIR-UX60A-MB-5ST,,,USB Connectors MINI B RECEPT RA SMT W/O POST,Hirose Connector,UX60A-MB-5ST,Mouser,EUR,8795,798-UX60A-MB-5ST,1,1,20,20,€0.69,€13.74,9
10,Q1,"BSS84,215",SOT323/SC70-3_SMALL,,POWER MOSFET-P SOT23,MOSFET -50V 200mW,Diodes Incorporated,BSS84W-7-F,Mouser,EUR,13597,621-BSS84W-F,1,1,20,20,€0.24,€4.84,10
11,"R1, R3, R4, R14",10K,0603_res,,RESISTOR,Thick Film Resistors - SMD 0603 10Kohms 1% Tol,Panasonic,ERJ-3EKF1002V,Mouser,EUR,1822371,667-ERJ-3EKF1002V,1,4,100,100,€0.01,€0.80,11
12,R10,1.5K,0603_res,,RESISTOR,Thick Film Resistors - SMD 0603 1.5Kohms 1% Tol,Panasonic,ERJ-3EKF1501V,Mouser,EUR,183199,667-ERJ-3EKF1501V,1,1,20,20,€0.01,€0.26,12
13,"R12, R13",0R,0603_res,,RESISTOR,Thick Film Resistors - SMD 0603 Zero Ohms,Panasonic,ERJ-3GEY0R00V,Mouser,EUR,1222167,667-ERJ-3GEY0R00V,1,2,40,40,€0.01,€0.44,13
14,R15,18K,0603_res,,RESISTOR,Thick Film Resistors - SMD 0603 18Kohms 5% Tol,Panasonic,ERJ-3GEYJ183V,Mouser,EUR,114431,667-ERJ-3GEYJ183V,1,1,20,20,€0.02,€0.36,14
