Quantity,Designator,Comment

"1","B1","N-DAP"
"3","C1, C4, C5","100nF"
"2","C2, C3","18pF"
"2","C6, C7","33pF"
"2","C8, C10","1uF/MLCC"
"1","D1","LED_RED_0603"
"1","D2","LED_GRN_0603"
"1","D3","LED_BLU_0603"
"1","D5","NSR20F30NXT5G"
"1","JP2","USB-MINI-B"
"1","Q1","BSS84,215"
"5","R1, R3, R4, R9, R14","10K"
"1","R2","680R"
"2","R5, R7","470R"
"2","R6, R8","33R"
"1","R10","1.5K"
"1","R12","0R"
"1","R15","18K"
"2","SW3, SW4","EVQ-P2202M"
"1","U1","LPC11U35FHI33/501"
"1","U2","TPS78233"
"1","Y1","12MHz"
