Altium Designer Pick and Place Locations
F:\n-blocks\n-dap\asm\Pick_Place.csv

========================================================================================================================
File Design Information:

Date:       24-01-20
Time:       16:30
Revision:   26ebbf1fa035fd837960dd6a39e72056feb7c357
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"JP2","TopLayer","16.3950","3.9950","180"
"Y1","TopLayer","3.8700","11.0700","90"
"R8","TopLayer","14.8400","8.9950","90"
"SW4","TopLayer","19.9700","13.4450","90"
"SW3","TopLayer","6.2950","2.0200","90"
"R15","TopLayer","3.3700","6.5950","180"
"R14","TopLayer","3.3400","7.6450","360"
"U2","TopLayer","6.9450","5.4450","90"
"C10","TopLayer","4.5700","5.0450","270"
"C8","TopLayer","9.2400","5.4450","90"
"R7","TopLayer","21.7650","10.0200","360"
"R5","TopLayer","21.7700","9.0200","360"
"D3","TopLayer","19.2772","10.0199","180"
"D2","TopLayer","19.2772","9.0199","180"
"R4","TopLayer","12.7950","13.3950","180"
"R3","TopLayer","12.7900","14.5700","180"
"U1","TopLayer","8.9150","10.6700","360"
"R10","TopLayer","16.2950","11.4950","270"
"R6","TopLayer","15.9950","8.9950","90"
"R2","TopLayer","21.7700","7.9950","360"
"R1","TopLayer","6.1950","14.5450","360"
"Q1","TopLayer","14.4077","11.6819","180"
"D1","TopLayer","19.2822","7.9949","180"
"C7","TopLayer","3.3700","8.7200","180"
"C6","TopLayer","3.6450","13.3200","360"
"C5","TopLayer","5.7700","7.4700","360"
"C4","TopLayer","8.7450","14.5450","180"
"C3","TopLayer","17.1450","9.0200","270"
"C2","TopLayer","13.7200","9.0200","270"
"C1","TopLayer","3.6504","14.5350","180"
"R12","TopLayer","18.7450","11.0450","180"
"R9","TopLayer","15.3450","13.7700","90"
"D5","TopLayer","2.7700","4.7700","270"
